순위	단어	품사	풀이	등급
5448	건너편	명	-便	2
9030	건넌방	명	-房	3
4760	건네다	동		3
4112	건네주다	동		3
3907	건드리다	동		3
649	건물03	명	建物	1
790	건설	명	建設	3
5851	건설되다	동	建設-	3
2263	건설하다	동	建設-	3
3388	건전하다	형	健全-	3
3849	건조04	명	乾燥	3
8659	건조하다02	형	乾燥-	3
2790	건지다	동		2
2616	건축01	명	建築	2
8660	걷기	명		3
546	걷다02	동	느릿느릿 ~	1
5314	걷다03	동	소매를 ~	3
7985	걷다04	동	빨래를 ~	3
716	걸다02	동	옷을 ~	1
380	걸리다01	동	'걸다'의 피동사	2
1970	걸어가다	동		1
4041	걸어오다01	동	집까지 ~	1
1647	걸음	명		2
837	걸치다	동		3
1585	검다02	형	색깔이 ~	2
3025	검사02	명	檢事	3
1512	검사03	명	檢査	2
3064	검은색	명	-色	1
38923	검정색	명	-色	2
2850	검토	명	檢討	3
2644	겁05	명	怯	2
7987	겁나다02	동	怯-	3
1	것01	의		1
2759	겉01	명		2
4761	게01	명	동물	3
1415	게다가	부		2
7687	게시판	명	揭示板	3
13080	게으르다	형		3
877	게임	명	g1me	1
1648	겨우	부		2
920	겨울	명		1
6009	겨울철	명		2
5711	겨자01	명		3
838	겪다	동		3
1341	견디다	동		2
1470	견해02	명	見解	3
211	결과02	명	結果	2
4487	결과적	명	結果的	3
352	결국	명	結局	2
1513	결론02	명	結論	3
16464	결석01	명	缺席	3
25684	결석하다	동	缺席-	3
4113	결승01	명	決勝	3
4763	결심01	명	決心	3
3623	결심하다01	동	決心-	2
1092	결정01	명	決定	2
1986	결정되다01	동	決定-	2
1033	결정하다01	동	決定-	2
752	결코	부	決-	3
601	결혼	명	結婚	1
3389	결혼식	명	結婚式	1
1130	결혼하다	동	結婚-	1
2461	경계04	명	境界	3
2702	경고04	명	警告	3
5712	경고하다02	동	警告-	3
2543	경기05	명	景氣	3
739	경기11	명	競技	2
경기도	고	京畿道	2
3624	경기장	명	競技場	2
3672	경력02	명	經歷	3
경복궁	고	景福宮	1
4968	경비02	명	經費	3
경상도	고	慶尙道	2
1034	경영02	명	經營	2
6746	경영하다01	동	經營-	3
65	경우03	명	境遇	2
762	경쟁	명	競爭	3
2264	경쟁력	명	競爭力	3
200	경제04	명	經濟	2
4969	경제력	명	經濟力	3
2492	경제적	명	經濟的	2
5713	경제학	명	經濟學	3
경주	고	慶州	1
632	경찰04	명	警察	1
2329	경찰관	명	警察官	1
3214	경찰서	명	警察署	1
5452	경치02	명	景致	1
1093	경향02	명	傾向	3
585	경험	명	經驗	2
2170	경험하다	동	經驗-	2
1586	곁01	명		2
2544	계곡01	명	溪谷	3
2206	계단04	명	階段	2
6951	계란	명	鷄卵	1
1827	계산01	명	計算	2
3390	계산기	명	計算器	2
2916	계산하다	동	計算-	2
405	계속04	부	繼續	1
1075	계속되다02	동	繼續-	2
1149	계속하다03	동	繼續-	2
1432	계시다	보		1
1163	계시다	동		1
2350	계약	명	契約	2
2520	계절01	명	季節	1
3138	계좌02	명	計座	3
2054	계층	명	階層	3
400	계획01	명	計劃	1
4862	계획하다01	동	計劃-	2
403	고개01	명	~를 돌리다	2
5857	고개02	명	~ 너머	3
1717	고객04	명	顧客	2
3968	고교04	명	高校	2
고구려	고	高句麗	3
7996	고구마	명		2
11578	고궁01	명	古宮	3
1915	고급02	명	高級	2
8305	고급스럽다	형	高級-	3
1055	고기01	명		1
1337	고등학교	명	高等學校	1
7445	고등학생	명	高等學生	1
고려	고	高麗	3
1490	고려하다01	동	考慮-	2
1496	고르다01	동	뽑다	2
5175	고르다03	형	차이가 없다	2
857	고맙다01	형		1
1848	고모01	명	姑母	2
8668	고모부	명	姑母夫	2
9911	고무신	명		3
1748	고민	명	苦悶	2
3104	고민하다	동	苦悶-	2
1916	고생	명	苦生	2
3065	고생하다	동	苦生-	2
8307	고소하다01	형	맛이 ~	3
6178	고속02	명	高速	2
5176	고속도로	명	高速道路	2
11580	고속버스	명	高速2us	2
1987	고양이	명		1
3851	고요하다	형		3
3175	고작02	부		3
1480	고장01	명	지역	2
3625	고장11	명	故障	2
2733	고전02	명	古典	3
5316	고집02	명	固執	3
3969	고집하다	동	固執-	3
2126	고추01	명		2
6014	고추장	명	-醬	2
9916	고춧가루	명		2
1503	고치다01	동		2
986	고통	명	苦痛	2
3674	고통스럽다	형	苦痛-	3
5860	고프다	형		1
4181	고함01	명	高喊	3
593	고향02	명	故鄕	1
