순위	단어	품사	풀이	등급
2793	내다보다	동		3
6195	내달	명	來-	3
1041	내려가다	동		1
3310	내려놓다	동		2
3029	내려다보다	동		2
894	내려오다	동		1
4120	내려지다	동		3
243	내리다01	동	눈이 ~	1
1545	내밀다	동		2
4591	내버리다	동		3
5737	내보내다	동		3
1190	내부04	명	內部	3
4779	내쉬다	동		3
5191	내외01	명	內外.안팎	3
4876	내외02	명	內外.남녀	3
212	내용02	명	內容	2
9963	내용물	명	內容物	3
3520	내일	부	來日	1
1270	내일	명	來日	1
7728	내적01	명	內的	3
3574	내주다	동		3
2592	내지01	부	乃至	2
26255	내후년	명	來後年	3
4877	냄비	명		2
1061	냄새	명		2
9080	냇물	명		3
4121	냉동	명	冷凍	3
13192	냉면	명	冷麵	1
20268	냉방	명	冷房	3
3311	냉장고	명	冷藏庫	1
100	너01	대		1
2231	너머	명		2
225	너무01	부		1
1152	너무나	부		2
1588	너희	대		2
22829	넉01	관	~ 달	3
4500	넉넉하다	형		3
1492	널리	부		3
638	넓다	형		1
4780	넓어지다	동		2
2763	넓히다	동		2
5330	넘겨주다	동		3
1459	넘기다	동		3
476	넘다01	동		2
1615	넘어가다01	동		2
4984	넘어뜨리다	동		3
1697	넘어서다	동		2
4680	넘어오다	동		3
4332	넘어지다	동		2
2172	넘치다	동		2
219	넣다	동		1
1304	네02	관		1
357	네03	감		1
8328	네거리	명		2
6766	넥타이	명	ne3ktie	1
6980	넷01	수		1
10452	넷째	관		1
6198	넷째	수		1
2074	녀석	의		2
26	년02	의	年	1
345	년대	의	年代	2
2890	년도	의	年度	2
4048	년생80	의	年生. 80~	3
547	노동03	명	勞動	3
792	노동자	명	勞動者	2
8329	노란색	명	-色	1
3109	노랗다	형		2
487	노래01	명		1
3977	노래방	명	-房	2
3398	노래하다	동		1
7474	노랫소리	명		2
494	노력01	명	努力	2
944	노력하다01	동	努力-	2
4189	노선01	명	路線	3
1086	노인01	명	老人	2
8031	노트02	명	note	1
4122	녹다01	동		3
4265	녹색	명	綠色	2
8699	녹음03	명	錄音	2
8330	녹음하다	동	錄音-	2
6562	녹이다	동		3
16643	녹차01	명	綠茶	2
9966	녹화03	명	錄畵	3
2677	논01	명		3
1236	논리	명	論理	3
5331	논리적01	명	論理的	3
1417	논문	명	論文	2
2953	논의하다	동	論議-	2
2708	논쟁	명	論爭	3
3859	논하다	동	論-	3
418	놀다01	동		1
594	놀라다	동		1
1829	놀랍다	형		2
4411	놀리다01	동	흉을 보다	3
1177	놀이01	명		2
7731	놀이터	명		2
848	놈01	의		3
9968	농구07	명	籠球	2
2856	농담01	명	弄談	2
597	농민	명	農民	3
3267	농부01	명	農夫	3
1472	농사01	명	農事	2
5595	농사일	명	農事-	3
4985	농사짓다	동	農事-	3
1942	농산물	명	農産物	3
723	농업	명	農業	2
5596	농장05	명	農場	3
1493	농촌	명	農村	2
277	높다	형		1
1657	높아지다	동		2
2210	높이01	명		2
2566	높이02	부		2
1153	높이다	동		2
151	놓다01	보		1
415	놓다01	동		1
6382	놓아두다	동		3
1319	놓이다	동		2
2173	놓치다	동		2
6201	놔두다	동	놓아두다	3
2739	뇌03	명	腦	3
114	누구	대		1
1140	누나01	명		1
1599	누르다01	동	힘을 가하다	2
107	눈01	명	신체의 일부	1
1505	눈04	명	~이 내리다	1
6565	눈가	명		3
8033	눈감다	동		3
1482	눈길01	명	~을 피하다	3
3629	눈동자	명	-瞳子	3
8034	눈뜨다	동		3
814	눈물01	명		1
20303	눈병	명	-病	3
4334	눈부시다	형		3
2075	눈빛01	명	~이 매섭다	2
3030	눈썹	명		2
1943	눈앞	명		2
981	눕다01	동		2
914	뉴스	명	news	1
뉴욕	고	New York	2
1011	느껴지다	동		2
222	느끼다02	동	추위를 ~	2
401	느낌	명		2
3860	느리다01	형		2
4878	늑대	명	동물	3
707	늘	부		2
1427	늘다01	동		2
1636	늘리다	동		2
809	늘어나다	동		2
4412	늘어놓다	동		3
4879	늘어서다	동		3
4781	늘어지다	동		3
1658	늙다	동		2
6035	능동적	명	能動的	3
502	능력02	명	能力	2
11040	늦가을	명		3
3630	늦다	동		1
949	늦다	형		1
6202	늦어지다	동		3
89	다03	부		1
4266	다03	명		1
2279	다가가다	동		2
5334	다가서다	동		3
1262	다가오다	동		2
7736	다녀가다	동		2
1876	다녀오다	동		1
284	다니다	동		1
3399	다듬다	동		3
1114	다루다01	동		3
163	다르다01	형		1
82	다른	관		1
3400	다름없다	형		3
747	다리01	명	신체의 일부	1
2466	다리02	명	교량	1
713	다만01	부		3
2354	다방02	명	茶房	3
7476	다섯	수		1
20314	다섯째	관		1
15360	다섯째	수		1
1191	다소01	부	多少	3
2891	다수	명	多數	2
81	다시01	부		1
8704	다양성	명	多樣性	3
595	다양하다01	형	多樣-	2
9517	다양해지다	동	多樣-	3
112	다음01	명		1
11043	다이어트	명	diet	2
4880	다정하다	형	多情-	3
1361	다지다	동		3
3181	다짐하다	동		3
3110	다치다01	동		2
2546	다투다	동		3
5087	다툼	명		3
1506	다하다	동		2
3735	다행	명	多幸	3
3915	다행히	부	多幸-	2
3631	닥치다01	동	다다르다	3
810	닦다01	동		1
5881	단06	명	段	3
2001	단09	관	單	2
471	단계03	명	段階	3
9082	단골01	명		3
4987	단단하다	형		3
4782	단독02	명	單獨	3
9084	단맛	명		2
5470	단순02	명	單純	3
1217	단순하다	형	單純-	2
1804	단순히	부	單純-	2
2192	단어	명	單語	1
1659	단위02	명	單位	3
4335	단점01	명	短點	2
1380	단지04	부	但只	2
2076	단지08	명	團地	2
498	단체02	명	團體	2
11684	단추01	명		3
3979	단편01	명	短篇	3
13214	단풍01	명	丹楓	3
1959	닫다02	동		1
4413	닫히다	동		2
1115	달05	명		1
620	달05	의		1
2438	달걀	명		2
1877	달다03	동	단추를 ~	2
9979	달다04	동	무게를 ~	3
861	달다05	보	빌려 다오	3
3980	달다05	동	돈을 다오	2
4881	달다07	형	맛	1
899	달라지다	동		2
3916	달래다01	동		3
8336	달러	명	doll1r	1
763	달러	의	doll1r	1
1805	달려가다	동		2
4882	달려들다	동		3
2593	달려오다	동		2
5088	달력	명	-曆	1
703	달리01	부		3
4050	달리기	명		3
1790	달리다01	동	문에 종이 ~	2
867	달리다04	동	말을 ~	2
4594	달리하다01	동		3
6036	달빛	명		2
2710	달아나다	동		2
2857	닭	명		1
7478	닭고기	명		1
2211	닮다	동		2
5739	담01	명	~을 쌓다	3
2920	담그다	동		2
1616	담기다01	동	담다	2
609	담다01	동	넣다	2
2057	담당	명	擔當	3
4988	담당자	명	擔當者	3
2496	담당하다	동	擔當-	2
679	담배	명		1
9089	담요	명		2
2858	담임	명	擔任	2
4191	답03	명	答	3
2618	답답하다	형		2
4989	답변	명	答辯	3
7738	답장	명	答狀	2
3228	답하다	동	答-	2
14205	닷새	명		2
3312	당근	명		2
3140	당기다01	동		2
3401	당당하다	형	堂堂-	3
6038	당분간	부	當分間	3
271	당시02	명	當時	3
217	당신02	대	當身	2
1311	당연하다01	형	當然-	2
2567	당연히01	부	當然-	2
1320	당장02	명	當場	2
675	당하다01	동	當-	3
2619	당황하다	동	唐慌-	2
1434	닿다01	동		2
5090	대01	의	담배 한 ~	3
9091	대01	명	줄기	3
527	대06	의	代	3
2764	대11	의	對. 개인 ~ 개인	2
1208	대15	의	臺	2
3229	대가06	명	代價	3
6770	대강02	부	大綱	3
4124	대개03	명	大槪	3
1709	대개03	부	大槪	3
대구	고	大邱	2
1878	대규모	명	大規模	3
2174	대기07	명	大氣	3
2406	대기업	명	大企業	2
5337	대기하다04	동	待機-	3
5092	대낮	명		3
724	대다01	동	귀에 ~	3
3683	대다수	명	大多數	3
2248	대단하다	형		2
2249	대단히	부		2
1453	대답	명	對答	1
1096	대답하다	동	對答-	1
4051	대도시	명	大都市	2
5195	대략	부	大略	3
2795	대량01	명	大量	3
569	대로01	의		3
2995	대륙01	명	大陸	3
2333	대문03	명	大門	2
391	대부분	명	大部分	2
4990	대비10	명	對備	3
2568	대비하다04	동	對備-	3
5471	대사04	명	大使	3
4193	대사17	명	臺詞	3
5883	대사관	명	大使館	1
8710	대상자03	명	對象者	3
655	대신03	명	代身	2
3032	대신하다	동	代身-	3
8342	대여섯	관		3
2038	대응02	명	對應	3
2407	대응하다	동	對應-	3
8043	대입01	명	大入	3
대전	고	大田	2
5339	대접05	명	待接	3
6387	대접하다	동	待接-	3
808	대중02	명	大衆	2
9527	대중교통	명	大衆交通	2
2439	대중문화	명	大衆文化	2
11691	대중적	명	大衆的	3
744	대책03	명	對策	3
3981	대처하다02	동	對處-	3
4991	대체02	부	大體	3
1685	대체로	부	大體-	3
2954	대출03	명	貸出	3
2824	대충01	부		3
128	대통령	명	大統領	2
482	대표	명	代表	2
1760	대표적	명	代表的	2
4415	대표하다	동	代表-	3
24	대하다02	동	對-	2
261	대학01	명	大學	1
4416	대학교	명	大學校	1
7487	대학교수	명	大學敎授	2
대학로	고	大學路	3
1944	대학생	명	大學生	1
3268	대학원	명	大學院	2
대한민국	고	大韓民國	2
3183	대합실	명	待合室	3
1589	대형04	명	大型	3
699	대화06	명	對話	1
8044	대화하다02	동	對話-	2
485	대회02	명	大會	2
1867	댁01	명	宅	1
3402	댐02	명	d1m	3
46	더01	부		1
1473	더구나01	부		2
7211	더더욱	부		3
9095	더러워지다	동		3
3269	더럽다	형		2
1293	더불다	동		3
273	더욱	부		3
4992	더욱더	부		3
2334	더욱이	부		3
3230	더위	명		2
1791	더하다	동		2
2955	덕05	명	德	3
2892	덕분	명	德分	2
덕수궁	고	德壽宮	2
621	던지다	동		2
2154	덜01	부		2
3313	덜다01	동		3
2678	덥다01	형		1
2110	덧붙이다	동		3
3403	덩어리	명		3
2193	덮다	동		2
5198	덮이다	동		3
62	데01	의		2
5094	데려가다	동		2
9529	데려오다	동		2
1167	데리다	동		2
9101	데우다01	동		3
5598	데이트	명	d1te	3
1198	도05	의	度	3
3141	도10	명	道. ~를 깨치다	3
3800	도11	명	道. 전국 각 ~	3
2408	도구10	명	道具	2
3270	도달하다01	동	到達-	3
1158	도대체	부	都大體	3
3861	도덕	명	道德	3
4052	도둑01	명		2
4417	도로01	부		2
1773	도로07	명	道路	2
5199	도리어	부		3
8045	도마01	명		3
6572	도망02	명	逃亡	3
6210	도망가다	동	逃亡-	2
4195	도망치다	동	逃亡-	3
1732	도서관	명	圖書館	1
423	도시03	명	都市	1
3633	도시락	명		2
4993	도심04	명	都心	3
2194	도와주다	동		1
714	도움	명		2
6042	도움말	명		3
2195	도입	명	導入	3
5095	도자기	명	陶瓷器	2
12423	도장17	명	圖章	3
2548	도저히	부	到底-	3
4054	도전04	명	挑戰	3
2859	도중04	명	途中	2
9103	도착01	명	到着	1
1305	도착하다01	동	到着-	1
도쿄(동경)	고	東京	2
16709	독감01	명	毒感	3
2175	독립	명	獨立	3
6775	독립하다	동	獨立-	3
4196	독서03	명	讀書	2
독일	고	獨逸	1
13235	독일어	명	獨逸語	2
5886	독창적	명	獨創的	3
1398	독특하다	형	獨特-	3
6212	독하다	형	毒-	3
140	돈01	명		1
1375	돌02	명	~멩이	2
927	돌다	동		2
6776	돌려주다	동		2
505	돌리다04	동	팽이를 ~	2
5096	돌멩이	명		3
2956	돌보다	동		2
519	돌아가다	동		1
3348	돌아다니다	동		3
2176	돌아보다	동		2
2825	돌아서다	동		2
377	돌아오다	동		1
1109	돕다	동		1
1879	동09	관	同	3
4197	동15	의	棟	3
8718	동그라미	명		3
9105	동그랗다	형		3
6575	동기04	명	同期	3
2232	동기07	명	動機	2
793	동네	명	洞-	2
동대문	고	東大門	2
동대문시장	고	東大門市場	2
1774	동료	명	同僚	3
1294	동물	명	動物	1
12428	동물원	명	動物園	2
3862	동부05	명	東部	3
602	동생01	명		1
5742	동서04	명	東西	3
14242	동서남북	명	東西南北	3
529	동시02	명	同時	2
3920	동아리02	명		2
214	동안01	명	시간의 길이	1
3111	동양03	명	東洋	2
15425	동양인	명	東洋人	3
3737	동의02	명	同意	3
4198	동의하다01	동	同意-	3
2620	동일하다	형	同一-	3
1815	동작03	명	動作	3
4503	동전05	명	銅錢	2
2569	동쪽	명	東-	1
5341	동창01	명	同窓	2
3112	동포02	명	同胞	3
2796	동행01	명	同行	3
2826	동화07	명	童話	2
8050	동화책	명	童話冊	3
2893	돼지	명		1
4418	돼지고기	명		1
2996	되게	부		2
5	되다01	동	어른이 ~	1
4685	되돌리다	동		3
5602	되돌아가다	동		3
8349	되돌아보다	동		3
5098	되돌아오다	동		3
6045	되살리다	동		3
3231	되찾다	동		3
5887	되풀이되다	동		3
3523	되풀이하다01	동		3
4994	된장	명	-醬	2
10482	된장찌개	명	-醬-	2
63	두01	관		1
2827	두껍다	형		2
5099	두께01	명		3
3404	두뇌	명	頭腦	3
266	두다01	동		2
326	두다01	보		2
2860	두드러지다	형		3
2894	두드리다	동		2
3466	두려움	명		3
4419	두려워하다	동		3
3034	두렵다01	형		3
2077	두르다	동		3
5342	두리번거리다	동		3
5603	두부01	명	豆腐	2
5473	두세	관		2
4505	두어	관		3
6394	두통	명	頭痛	2
575	둘01	수		1
2594	둘러보다	동		2
1850	둘러싸다	동		3
4995	둘러싸이다	동		3
1660	둘째	수		1
2679	둘째	관		1
2155	둥글다01	형		2
2497	둥지	명		3
87	뒤01	명		1
3271	뒤늦다	형		3
2997	뒤따르다	동		3
3272	뒤지다02	동	가방을 ~	3
2957	뒤집다	동		2
5100	뒤쪽01	명		2
6989	뒤편	명	-便	3
9992	뒷골목	명		3
3863	뒷모습	명		3
7497	뒷문	명	-門	3
6046	뒷산	명	-山	2
2078	드디어	부		3
1237	드라마	명	dr1m1	2
598	드러나다	동		3
1460	드리다01	동	인사를 ~	1
830	드리다01	보	도와 ~	1
1960	드물다	형		3
88	듣다01	동	소리를 ~	1
2797	들01	명		2
3142	들다01	보	따지고 ~	2
91	들다01	동	여관에 ~	1
130	들다04	동	꽃을 ~	1
1733	들려오다	동		2
4337	들려주다	동		2
1961	들르다	동		2
866	들리다03	동	소리가 ~	2
158	들어가다01	동		1
646	들어서다	동		2
256	들어오다	동		1
9994	들어주다	동		3
5743	들여놓다	동		3
1739	들여다보다	동		2
1515	들이다02	동	'들다'의 사동사	3
6779	들이마시다02	동	숨을 ~	3
5604	들이켜다01	동		3
337	듯01	의		3
3685	듯싶다	보		3
989	듯이01	의		2
347	듯하다	보		3
1019	등01	명	신체의 일부	2
3405	등04	의	等. 1~	2
18	등05	의	等	2
3349	등등01	의	等等	3
3273	등록01	명	登錄	2
7221	등록금	명	登錄金	2
4268	등록증	명	登錄證	3
9537	등록하다01	동	登錄-	3
4996	등산	명	登山	1
8355	등산로	명	登山路	2
3035	등장01	명	登場	3
987	등장하다01	동	登場-	3
3274	디스크	명	disk	3
9995	디자이너	명	designer	2
3036	디자인	명	design	2
26587	따님	명		3
1590	따다01	동	떼다	2
1312	따뜻하다	형		1
2468	따라가다	동		2
5605	따라다니다	동		3
268	따라서	부		3
3921	따라오다	동		2
1313	따로	부		2
9996	따로따로01	부		3
51	따르다01	동	뒤를 ~	2
3143	따르다02	동	물을 ~	2
5744	따스하다	형		3
3524	딱02	부	멎는 모양	3
1851	딱03	부	바라진 모양	2
4200	딱딱하다01	형	굳다	3
2111	딴03	관	~ 일	2
625	딸01	명		1
8053	딸기	명		1
7500	딸아이	명		3
1399	땀01	명		2
321	땅01	명		2
8054	땅바닥	명		3
4201	땅속	명		3
6215	땅콩	명		2
19	때01	명	시간	1
5475	때02	명	더러운 물질	3
7749	때때로	부		2
1353	때로	부		3
1686	때리다01	동		3
31	때문	의		1
6047	땜03	의	때문	2
5889	떠나가다	동		3
327	떠나다	동		1
8727	떠나오다	동		3
2765	떠들다01	동	말하다	2
5890	떠들썩하다02	형	떠들다	3
1042	떠오르다	동		2
1749	떠올리다	동		2
1443	떡01	명		1
18402	떡국	명		3
13255	떡볶이	명		2
1271	떨다01	동		2
2570	떨리다01	동	흔들리다	2
2621	떨어뜨리다	동		2
299	떨어지다	동		2
2798	떼01	명	양 ~	3
1070	떼다01	동		2
40	또	부		1
250	또는	부		2
2177	또다시	부		2
248	또한	부		2
1376	똑같다	형		1
2622	똑같이	부		2
3864	똑똑하다	형		2
5201	똑바로	부		1
4338	뚜껑	명		2
3113	뚫다	동		3
11721	뚱뚱하다	형		2
9541	뛰놀다	동		3
1852	뛰다01	동	심장이 ~	1
1626	뛰다02	동	빨리 나아가다	1
4598	뛰어가다	동		3
9998	뛰어나가다	동		2
1661	뛰어나다	형		3
9114	뛰어나오다	동		3
6399	뛰어내리다	동		3
3315	뛰어넘다	동		3
9999	뛰어놀다	동		3
7224	뛰어다니다	동		2
2280	뛰어들다	동		2
9542	뛰어오다	동		2
6780	뛰어오르다	동		3
1178	뜨겁다	형		1
1389	뜨다01	동	솟아오르다	2
7753	뜨다03	동	떠나다	3
1673	뜨다05	동	눈을 ~	2
3634	뜯다	동		3
6218	뜰01	명		3
296	뜻	명		2
5891	뜻대로	부		3
4420	뜻밖	명		3
6219	뜻밖에	부		3
1816	뜻하다	동		3
1792	띄다01	동	눈에 ~	3
4687	띄우다02	동	배를 ~	3
1571	라디오	명	r1dio	1
2623	라면01	명	&일r1men	1
5606	라운드	명	round	3
10002	라이벌	명	riv1l	3
6781	라이터	명	lighter	2
5202	라인01	명	line	3
9544	라켓	명	r13ket	3
러시아	고	Russi1	1
런던	고	London	2
7503	레몬	명	lemon	2
5892	레스토랑	명	&프rest1ur1nt	2
8731	레이저	명	l1ser	3
9115	레저	명	leisure	3
5203	렌즈	명	lens	2
5893	로봇	명	ro2ot	3
9116	로터리	명	rot1ry	3
3525	리02	의	里	3
3802	리그01	명	le1gue	3
2998	리듬	명	rhythm	2
9546	리터01	의	liter	3
2571	마구01	부		2
3316	마누라01	명		3
1740	마늘	명		2
1617	마당	명		3
4788	마당	의		3
3037	마디01	명		3
2799	마땅하다	형		3
7756	마라톤	명	m1r1thon	3
1572	마련	의		3
2233	마련	명		3
2440	마련되다	동		2
833	마련하다	동		2
2441	마루03	명	~를 닦다	2
1649	마르다01	동		2
1168	마리01	의		1
3740	마무리	명		3
8358	마사지	명	m1ss1ge	2
365	마시다	동		1
4508	마약	명	痲藥	3
9547	마요네즈	명	&프m1yonn1ise	3
480	마을01	명		2
148	마음01	명		1
5608	마음가짐	명		3
4789	마음껏	부		3
2921	마음대로	부		2
4339	마음먹다	동		3
2212	마음속	명		2
7225	마음씨	명		3
3803	마이크	명	mike	3
2250	마주01	부		2
3741	마주치다	동		3
8736	마중01	명		2
626	마지막	명		1
545	마찬가지	명		2
4997	마찰	명	摩擦	3
580	마치03	부		2
711	마치다02	동		2
2265	마침02	부		2
1507	마침내	부		2
4998	마크	명	m1rk	3
9548	마흔	수		1
1817	막01	부	바로 지금	2
1159	막02	부	마구	2
4421	막걸리	명		3
4269	막내	명		2
700	막다01	동		2
3742	막상01	부		3
1344	막히다	동		2
811	만01	의	십 년 ~에	3
6221	만02	의	화를 낼 ~도 하다	3
3865	만06	관	萬	1
8359	만06	수	萬	1
7226	만07	관	滿. ~ 3개월	2
166	만나다	동		1
2572	만남	명		2
16774	만두01	명	饅頭	2
61	만들다	동		1
1071	만들어지다	동		2
3866	만만하다01	형	대적할 만함	3
9549	만세04	명	萬歲	3
1134	만약	명	萬若	2
1761	만일01	명	萬一	2
5896	만점	명	滿點	3
4999	만족01	명	滿足	3
7505	만족스럽다	형	滿足-	3
6049	만족하다	동	滿足-	2
3804	만족하다	형	滿足-	2
2522	만지다	동		2
440	만큼	의		2
451	만하다	보		3
2059	만화10	명	漫畵	2
9551	만화가	명	漫畵家	3
43	많다	형		1
2381	많아지다	동		2
98	많이	부		1
28	말01	명	~과 글	1
2624	말05	명	동물	2
780	말11	의	末	2
3144	말기05	명	末期	3
5343	말다01	동	감다	3
576	말다03	동	그만두다	1
161	말다03	보		1
3922	말리다02	동	싸움을 ~	3
3232	말리다03	동	빨래를 ~	3
812	말씀	명		1
3184	말씀드리다	동		2
1381	말씀하다	동		1
3145	말없이	부		3
5746	말투	명	-套	3
32	말하다	동		1
1077	맑다01	형		1
3923	맘01	명	마음	3
9552	맘대로	부	마음대로	3
390	맛01	명		1
3275	맛보다01	동		3
15475	맛없다	형		1
1020	맛있다	형		1
3467	망설이다	동		3
4888	망원경	명	望遠鏡	3
5000	망치다	동		3
3146	망하다	동	亡-	3
378	맞다01	동	답이 ~	2
800	맞다02	동	손님을 ~	2
1546	맞다03	동	매를 ~	2
2828	맞서다	동		2
5344	맞은편	명	-便	2
3317	맞이하다	동		3
694	맞추다01	동		2
1516	맡기다	동		2
633	맡다01	동	담임을 ~	2
4422	맡다02	동	냄새를 ~	3
5476	매01	명	~를 맞다	3
4690	매너	명	m1nner	3
2767	매년	부	每年	2
3982	매다01	동	끈을 ~	2
5897	매달	부	每-	3
6994	매달다	동		3
1962	매달리다	동		3
2409	매력	명	魅力	2
10013	매번	부	每番	3
7759	매스컴	명	m1ss 3ommuni31tion	3
393	매우01	부		1
1272	매일	부	每日	1
6784	매일	명	每日	1
3185	매장06	명	賣場	3
6995	매주01	부	每週	3
1345	매체	명	媒體	3
2861	맥주	명	麥酒	1
1750	맨01	관		2
6050	맵다	형		1
1674	맺다	동		3
288	머리01	명		1
9554	머리말	명		3
3983	머리카락	명		2
5610	머리칼	명		3
2178	머릿속	명		2
2094	머무르다	동		2
2469	머물다	동		3
5478	먹고살다	동		3
10015	먹다01	동	귀를 ~	3
3924	먹다02	보	잊어 ~	1
70	먹다02	동	밥을 ~	1
3686	먹이	명		3
2060	먹이다	동		2
8361	먹히다	동		2
283	먼저	부		1
2958	먼지01	명		2
718	멀다02	형	갈 길이 ~	1
997	멀리01	부		2
3186	멀어지다	동		2
1418	멈추다	동		2
5346	멋01	명		2
5206	멋있다	형		2
3350	멋지다	형		3
32365	멍멍01	부		3
5479	멎다01	동		3
5002	메뉴	명	menu	1
6051	메다02	동	총을 ~	2
7231	메모	명	memo	2
3526	메시지	명	mess1ge	2
3805	메우다02	동	'메다'의 사동사	3
23197	메일	명	m1il	2
2923	며느리	명		2
1021	며칠	명		1
4058	면04	명	面. 행정 단위	3
643	면05	명	面. 양쪽 ~	3
5347	면07	명	綿	3
5481	면담	명	面談	3
3806	면적	명	面積	3
9555	면접	명	面接	3
3527	면하다01	동	免-	3
5207	멸치	명		3
77	명03	의	名. 한 ~	1
6222	명단01	명	名單	3
2311	명령01	명	命令	2
5748	명령어	명	命令語	3
2470	명예01	명	名譽	3
3578	명의02	명	名義	3
3926	명절01	명	名節	2
3187	명칭02	명	名稱	3
9557	명함	명	名銜	2
3984	명확하다	형	明確-	3
3743	몇	수		1
186	몇	관		1
2112	몇몇	관		2
7234	몇십	관		2
5613	모15	관	某	3
2095	모15	대	某	3
5003	모금01	의	한 ~	3
6582	모기01	명		2
3000	모니터	명	monitor	2
1840	모델	명	model	2
708	모두01	명		1
145	모두01	부		1
137	모든	관		1
2862	모래01	명		2
12460	모레	명		2
59	모르다	동		1
4890	모범02	명	模範	3
3528	모색하다02	동	摸索-	3
164	모습01	명		2
1368	모시다	동		2
464	모양02	명	模樣	2
911	모양02	의	模樣	2
5899	모여들다	동		3
508	모으다	동		2
610	모이다01	동		2
906	모임01	명		2
4059	모자08	명	帽子	1
2829	모자라다	동		2
5104	모조리01	부		3
5485	모집	명	募集	3
8064	모집하다	동	募集-	3
3406	모처럼	부		3
5486	모퉁이	명		3
1230	목01	명		1
10505	목걸이01	명		2
4340	목록	명	目錄	3
2523	목사05	명	牧師	2
486	목소리	명		2
1973	목숨	명		3
11099	목요일	명	木曜日	1
3808	목욕	명	沐浴	1
5749	목욕탕	명	沐浴湯	2
740	목적03	명	目的	2
1036	목표	명	目標	2
2196	몰다01	동		2
2312	몰래01	부		2
4790	몰려들다	동		3
6052	몰려오다	동		3
156	몸01	명		1
7238	몸매	명		3
7239	몸무게	명		2
8364	몸살01	명	~이 걸리다	2
9558	몸속	명		3
3636	몸짓	명		3
3744	몸통	명		3
1687	몹시	부		2
3745	못01	명	벽에 ~을 박다	3
207	못04	부		1
3867	못되다	형		3
11104	못생기다	형		3
2213	못지않다	형		3
495	못하다	동		1
3927	못하다	형		1
57	못하다	보		1
5005	묘사02	명	描寫	3
3746	묘사하다	동	描寫-	3
3687	무02	명	식물	2
7767	무08	명	無	3
1662	무겁다	형		1
2442	무게	명		2
7240	무관심	명	無關心	3
10024	무관심하다	형	無關心-	3
6405	무궁화	명	無窮花	3
2113	무기05	명	武器	3
1793	무너지다	동		3
3277	무늬	명		2
727	무대06	명	舞臺	3
8367	무더위	명		2
3233	무덤	명		3
9129	무덥다	형		3
3072	무려02	부	無慮	3
1321	무렵	의		2
3688	무료01	명	無料	3
1637	무릎	명		2
3468	무리01	명	~를 이루다	3
2896	무리08	명	無理	3
4891	무리하다	형	無理-	3
10027	무사하다04	형	無事-	3
1051	무섭다	형		2
221	무슨	관		1
2061	무시하다	동	無視-	2
1533	무어01	대		2
135	무엇	대		1
1201	무역02	명	貿易	2
1382	무용03	명	舞踊	2
8369	무용가	명	舞踊家	3
6224	무의미하다	형	無意味-	3
2313	무조건	부	無條件	2
10517	무지개	명		3
9563	무책임하다	형	無責任-	3
1169	무척01	부		2
5902	묵다01	동	오래된 상태	3
7769	묵다02	동	머무르다	3
2711	묶다	동		2
4892	묶이다	동		3
469	문05	명	門	1
6225	문구01	명	文句	3
1688	문득01	부		3
6790	문밖	명	門-	3
10519	문법01	명	文法	3
3147	문서	명	文書	3
2281	문자02	명	文字	3
3278	문장02	명	文章	2
53	문제06	명	問題	1
7002	문제되다	동	問題-	3
1591	문제점	명	問題點	2
272	문학01	명	文學	2
13326	문학적	명	文學的	3
73	문화01	명	文化	2
1390	문화재	명	文化財	3
5007	문화적	명	文化的	3
2282	묻다01	동	옷에 흙이 ~	2
3279	묻다02	동	시체를 ~	3
289	묻다03	동	길을 ~	1
5008	묻히다01	동	옷에 흙을 ~	3
3073	묻히다02	동	땅에 ~	3
165	물01	명	바닷~	1
1990	물가02	명	物價	3
560	물건	명	物件	1
3234	물결	명		3
3579	물고기	명		2
2443	물기	명	-氣	3
2024	물다02	동	담배를 ~	2
3580	물러나다	동		3
213	물론01	부	勿論	1
1435	물론01	명	勿論	2
3407	물리학	명	物理學	3
2079	물속	명		2
1483	물어보다	동		1
2897	물음01	명		2
912	물질02	명	物質	3
6054	물질적	명	物質的	3
1461	물체	명	物體	3
108	뭐	대		1
339	뭐	감		1
9136	뭘01	감		3
6228	뭣	대		3
1025	미14	명	美	3
미국	고	美國	1
5753	미끄러지다	동		3
13330	미끄럽다	형		3
6585	미니02	명	mini	3
2573	미디어	명	medi1	2
1298	미래02	명	未來	2
2157	미루다	동		3
